"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"159","CASP8","Q14790","CASP8","ENSG00000064012"
"160","CBLIF","P27352","CSF1","ENSG00000184371"
"161","CBLN4","Q9NTU7",NA,NA
"162","CC2D1A","Q6P1N0","ARHGEF3","ENSG00000163947"
"163","CCDC80","Q76M96","CCDC80","ENSG00000091986"
"164","CCL11","P51671","ACKR1","ENSG00000213088"
"165","CCL13","Q99616","ACKR1","ENSG00000213088"
"166","CCL14","Q16627","ACKR1","ENSG00000213088"
"167","CCL15","Q16663",NA,NA
"168","CCL16","O15467",NA,NA
"169","CCL17","Q92583","ACKR1","ENSG00000213088"
"170","CCL18","P55774",NA,NA
"171","CCL19","Q99731","PTPN22","ENSG00000134242"
"172","CCL2","P13500","ACKR1","ENSG00000213088"
"173","CCL20","P78556","SNRPGP8","ENSG00000226718"
"174","CCL21","O00585","SPRED2","ENSG00000198369"
"175","CCL22","O00626","ACKR2","ENSG00000144648"
"176","CCL23","P55773",NA,NA
"177","CCL24","O00175","TRIM33","ENSG00000197323"
"178","CCL25","O15444","MTCO3P1","ENSG00000235040"
"179","CCL26","Q9Y258","ACKR1","ENSG00000213088"
"180","CCL27","Q9Y4X3","TNXB","ENSG00000168477"
"181","CCL28","Q9NRJ3","RPRD2","ENSG00000163125"
"182","CCL3","P10147",NA,"ENSG00000288724"
"183","CCL4","P13236",NA,NA
"184","CCL5","P13501","ARHGEF3","ENSG00000163947"
"185","CCL7","P80098","ACKR1","ENSG00000213088"
"186","CCL8","P80075","ACKR1","ENSG00000213088"
"187","CCN1","O00622",NA,"ENSG00000230285"
"188","CCN2","P29279","LINC01221","ENSG00000235492"
"189","CCN3","P48745","CCN3","ENSG00000136999"
"190","CCN4","O95388","MEF2D","ENSG00000116604"
"191","CCN5","O76076","SHROOM3","ENSG00000138771"
"192","CCS","O14618","CCS","ENSG00000173992"
"193","CD109","Q6YHK3","GCKR","ENSG00000084734"
"194","CD14","P08571","PIGC","ENSG00000135845"
"195","CD160","O95971","RUNX3","ENSG00000020633"
"196","CD163","Q86VB7","AL590385.2","ENSG00000273112"
"197","CD164","Q04900","ARL8A","ENSG00000143862"
"198","CD177","Q8N6Q3","KDELR2","ENSG00000136240"
"199","CD1C","P29017","FGGY","ENSG00000172456"
"200","CD200","P41217","GCKR","ENSG00000084734"
"201","CD200R1","Q8TD46",NA,"ENSG00000228541"
"202","CD207","Q9UJ71","NSL1","ENSG00000117697"
"203","CD209","Q9NNX6","CELSR2","ENSG00000143126"
