"","Assay Target","Target UniProt","Bioinfomatic annotated gene","Ensembl gene ID"
"951","OSCAR","Q8IYS5","MARCO","ENSG00000019169"
"952","OSM","P13725","LINC02580","ENSG00000230587"
"953","OSMR","Q99650","IL6R","ENSG00000160712"
"954","OXT","P01178","GREB1","ENSG00000196208"
"955","P4HB","P07237","FN1","ENSG00000115414"
"956","PADI2","Q9Y2J8","PADI2","ENSG00000117115"
"957","PADI4","Q9UM07","PADI4","ENSG00000159339"
"958","PAEP","P09466","SFTPB","ENSG00000168878"
"959","PAG1","Q9NWQ8","ARHGEF3","ENSG00000163947"
"960","PAK4","O96013","ARHGEF3","ENSG00000163947"
"961","PAM","P19021","PAM","ENSG00000145730"
"962","PAMR1","Q6UXH9","GCKR","ENSG00000084734"
"963","PAPPA","Q13219","USP34","ENSG00000115464"
"964","PARK7","Q99497","PARK7","ENSG00000116288"
"965","PARP1","P09874",NA,NA
"966","PBLD","P30039","PBLD","ENSG00000108187"
"967","PCDH1","Q08174","PCDH1","ENSG00000156453"
"968","PCDH17","O14917",NA,NA
"969","PCOLCE","Q15113","TFR2","ENSG00000106327"
"970","PCSK9","Q8NBP7","PCSK9","ENSG00000169174"
"971","PDCD1","Q15116","ST3GAL3","ENSG00000126091"
"972","PDCD1LG2","Q9BQ51","ST3GAL3","ENSG00000126091"
"973","PDCD5","O14737","ARHGEF3","ENSG00000163947"
"974","PDCD6","O75340","C8A","ENSG00000157131"
"975","PDGFA","P04085","PEAR1","ENSG00000187800"
"976","PDGFB","P01127","PEAR1","ENSG00000187800"
"977","PDGFC","Q9NRA1",NA,NA
"978","PDGFRA","P16234","AL590385.2","ENSG00000273112"
"979","PDGFRB","P09619","PDGFRB","ENSG00000113721"
"980","PDLIM7","Q9NR12","ARHGEF3","ENSG00000163947"
"981","PEAR1","Q5VY43","PEAR1","ENSG00000187800"
"982","PEBP1","P30086","ARHGEF3","ENSG00000163947"
"983","PECAM1","P16284","ARHGEF3","ENSG00000163947"
"984","PFKFB2","O60825","PFKFB2","ENSG00000123836"
"985","PGF","P49763","FLT1","ENSG00000102755"
"986","PGLYRP1","O75594","CSF3R","ENSG00000119535"
"987","PHOSPHO1","Q8TCT1","AC009084.1","ENSG00000265408"
"988","PI3","P19957",NA,NA
"989","PIGR","P01833","PIGR","ENSG00000162896"
"990","PIK3AP1","Q6ZUJ8","TRIM58","ENSG00000162722"
"991","PIK3IP1","Q96FE7","SHROOM3","ENSG00000138771"
"992","PILRA","Q9UKJ1","NPHS2","ENSG00000116218"
"993","PILRB","Q9UKJ0",NA,NA
"994","PKLR","P30613","ASH1L","ENSG00000116539"
"995","PLA2G10","O15496","AC103923.1","ENSG00000235545"
"996","PLA2G15","Q8NCC3","HLA-DQA1","ENSG00000196735"
"997","PLA2G1B","P04054","FAF1","ENSG00000185104"
"998","PLA2G2A","P14555","PLA2G2A","ENSG00000188257"
"999","PLA2G4A","P47712","PLA2G4A","ENSG00000116711"
"1000","PLA2G7","Q13093","PCSK9","ENSG00000169174"
"1001","PLAT","P00750","STXBP5","ENSG00000164506"
"1002","PLAU","P00749",NA,"ENSG00000228541"
"1003","PLAUR","Q03405","LY75","ENSG00000054219"
"1004","PLIN1","O60240","PLIN1","ENSG00000166819"
"1005","PLIN3","O60664","ZFPM2","ENSG00000169946"
"1006","PLPBP","O94903","ARHGEF3","ENSG00000163947"
"1007","PLTP","P55058","WWP1P1","ENSG00000244153"
"1008","PLXDC1","Q8IUK5","KLKB1","ENSG00000164344"
"1009","PLXNA4","Q9HCM2","ARHGEF3","ENSG00000163947"
"1010","PLXNB2","O15031","FCRLA","ENSG00000132185"
"1011","PLXNB3","Q9ULL4","HBS1L","ENSG00000112339"
"1012","PM20D1","Q6GTS8","MTX1","ENSG00000173171"
"1013","PMVK","Q15126","PMVK","ENSG00000163344"
"1014","PNLIPRP2","P54317","FUT9","ENSG00000172461"
"1015","PNPT1","Q8TCS8","MICA","ENSG00000204520"
"1016","PODXL","O00592","C1GALT1","ENSG00000106392"
"1017","PODXL2","Q9NZ53","ZMYM6","ENSG00000163867"
"1018","POLR2F","P61218","ATXN2","ENSG00000204842"
"1019","PON2","Q15165","BX248415.1","ENSG00000285986"
"1020","PON3","Q15166","CFH","ENSG00000000971"
"1021","PPCDC","Q96CD2","ARHGEF3","ENSG00000163947"
"1022","PPIB","P23284","ARHGEF3","ENSG00000163947"
"1023","PPME1","Q9Y570","BET1L","ENSG00000177951"
"1024","PPP1R12A","O14974","SERPINE2","ENSG00000135919"
"1025","PPP1R2","P41236","ARHGEF3","ENSG00000163947"
"1026","PPP1R9B","Q96SB3","ARHGEF3","ENSG00000163947"
"1027","PPP3R1","P63098","RUNX3","ENSG00000020633"
"1028","PPY","P01298","NOTCH2","ENSG00000134250"
"1029","PRCP","P42785","RGL1","ENSG00000143344"
"1030","PRDX1","Q06830","PRDX1","ENSG00000117450"
"1031","PRDX3","P30048",NA,NA
"1032","PRDX5","P30044","REEP3","ENSG00000165476"
"1033","PRDX6","P30041","PRDX6-AS1","ENSG00000203739"
"1034","PRELP","P51888","PRELP","ENSG00000188783"
"1035","PRKAB1","Q9Y478","ARHGEF3","ENSG00000163947"
"1036","PRKAR1A","P10644","SERPINE2","ENSG00000135919"
"1037","PRKRA","O75569","ARHGEF3","ENSG00000163947"
"1038","PRL","P01236","LPCAT1","ENSG00000153395"
"1039","PROC","P04070","CELSR2","ENSG00000143126"
"1040","PROK1","P58294","PROK1","ENSG00000143125"
"1041","PRSS2","P07478","NOTCH2","ENSG00000134250"
"1042","PRSS27","Q9BQR3","LINC01221","ENSG00000235492"
"1043","PRSS8","Q16651","GCKR","ENSG00000084734"
"1044","PRTFDC1","Q9NRG1","IRF1","ENSG00000125347"
"1045","PRTG","Q2VWP7","SLC39A8","ENSG00000138821"
"1046","PRTN3","P24158","CSF3R","ENSG00000119535"
"1047","PSG1","P11464","LINC01358","ENSG00000237352"
"1048","PSIP1","O75475","ARHGEF3","ENSG00000163947"
"1049","PSMD9","O00233","CFAP251","ENSG00000158023"
"1050","PSME1","Q06323","ARHGEF3","ENSG00000163947"
"1051","PSME2","Q9UL46","EMC9","ENSG00000100908"
"1052","PSMG3","Q9BT73","PSMG4","ENSG00000180822"
"1053","PSPN","O60542",NA,"ENSG00000287881"
"1054","PSRC1","Q6PGN9","PSRC1","ENSG00000134222"
"1055","PTGDS","P41222","LINC02692","ENSG00000198454"
"1056","PTH1R","Q03431","PTH1R","ENSG00000160801"
"1057","PTK7","Q13308","KLC4","ENSG00000137171"
"1058","PTN","P21246","HLA-DQB1-AS1","ENSG00000223534"
"1059","PTPN1","P18031","ARHGEF3","ENSG00000163947"
"1060","PTPN6","P29350","ARHGEF3","ENSG00000163947"
"1061","PTPRF","P10586","PTPRF","ENSG00000142949"
"1062","PTPRM","P28827","Y_RNA","ENSG00000199595"
"1063","PTPRN2","Q92932","PTPRN2","ENSG00000155093"
"1064","PTPRS","Q13332","GCKR","ENSG00000084734"
"1065","PTS","Q03393","STAB1","ENSG00000010327"
"1066","PTX3","P26022","ITIH1","ENSG00000055957"
"1067","PVALB","P20472","SKI","ENSG00000157933"
"1068","PVR","P15151","MLXIPL","ENSG00000009950"
"1069","PXN","P49023",NA,NA
"1070","QDPR","P09417","ARHGEF3","ENSG00000163947"
"1071","QPCT","Q16769","RUNX3","ENSG00000020633"
"1072","RAB6A","P20340","AC068631.1","ENSG00000197099"
"1073","RABEPK","Q7Z6M1","RABEPK","ENSG00000136933"
"1074","RABGAP1L","Q5R372","RABGAP1L-DT","ENSG00000227373"
"1075","RAD23B","P54727","ARHGEF3","ENSG00000163947"
"1076","RARRES1","P49788","RARRES1","ENSG00000118849"
"1077","RARRES2","Q99969","GCKR","ENSG00000084734"
"1078","RASSF2","P50749","RASSF2","ENSG00000101265"
"1079","RBKS","Q9H477","RBKS","ENSG00000171174"
"1080","RBP2","P50120","ZRANB3","ENSG00000121988"
"1081","RBP5","P82980","KRT18P22","ENSG00000218153"
"1082","RCOR1","Q9UKL0","APOH","ENSG00000091583"
"1083","REG1A","P05451",NA,NA
"1084","REG1B","P48304",NA,NA
"1085","REG3A","Q06141","AC011754.1","ENSG00000224879"
"1086","REG4","Q9BYZ8","RERE","ENSG00000142599"
"1087","RELT","Q969Z4","SHROOM3","ENSG00000138771"
"1088","REN","P00797",NA,NA
"1089","RET","P07949","NPAS2","ENSG00000170485"
"1090","RETN","Q9HD89","CSF3R","ENSG00000119535"
"1091","RGMA","Q96B86","HJV","ENSG00000168509"
"1092","RGMB","Q6NW40","NPHS2","ENSG00000116218"
"1093","RGS8","P57771","IGHV1-58","ENSG00000211968"
"1094","RHOC","P08134","WNT2B","ENSG00000134245"
"1095","RILP","Q96NA2","ARHGEF3","ENSG00000163947"
"1096","RNASE3","P12724","LINC02580","ENSG00000230587"
"1097","RNASET2","O00584","NPHS2","ENSG00000116218"
"1098","ROBO1","Q9Y6N7","RERE","ENSG00000142599"
"1099","ROBO2","Q9HCK4","ROBO2","ENSG00000185008"
"1100","ROR1","Q01973","RPL21P24","ENSG00000229554"
"1101","RP2","O75695","AL390760.1","ENSG00000203364"
"1102","RRM2","P31350","HLA-DQA1","ENSG00000196735"
"1103","RRM2B","Q7LG56","ARHGEF3","ENSG00000163947"
"1104","RSPO1","Q2MKA7","RSPO1","ENSG00000169218"
"1105","RSPO3","Q9BXY4",NA,"ENSG00000286215"
"1106","RTBDN","Q9BSG5","REST","ENSG00000084093"
"1107","RTN4R","Q9BZR6","C1orf105","ENSG00000180999"
"1108","RUVBL1","Q9Y265","IGLV2-23","ENSG00000211660"
"1109","RWDD1","Q9H446","ARHGEF3","ENSG00000163947"
"1110","S100A11","P31949","S100A11","ENSG00000163191"
"1111","S100A12","P80511","S100A9","ENSG00000163220"
"1112","S100A16","Q96FQ6","S100A16","ENSG00000188643"
"1113","S100A4","P26447","S100A3","ENSG00000188015"
"1114","S100P","P25815","LINC02580","ENSG00000230587"
"1115","SAMD9L","Q8IVG5","ARHGEF3","ENSG00000163947"
"1116","SCAMP3","O14828","SCAMP3","ENSG00000116521"
"1117","SCARA5","Q6ZMJ2","GCKR","ENSG00000084734"
"1118","SCARB1","Q8WTV0","IGHD6-19","ENSG00000211914"
"1119","SCARB2","Q14108",NA,NA
"1120","SCARF1","Q14162","TRIM58","ENSG00000162722"
"1121","SCARF2","Q96GP6","NPHS2","ENSG00000116218"
"1122","SCG2","P13521","RFX6","ENSG00000185002"
"1123","SCG3","Q8WXD2",NA,NA
"1124","SCGB1A1","P11684","TP73","ENSG00000078900"
"1125","SCGB3A2","Q96PL1",NA,NA
"1126","SCGN","O76038","ANXA6","ENSG00000197043"
"1127","SCLY","Q96I15","SCLY","ENSG00000132330"
"1128","SCP2","P22307","MICA","ENSG00000204520"
"1129","SCRN1","Q12765","LINC01221","ENSG00000235492"
"1130","SDC1","P18827","RNU6-961P","ENSG00000200763"
"1131","SDC4","P31431","DNM3","ENSG00000197959"
"1132","SELE","P16581","CELSR2","ENSG00000143126"
"1133","SELP","P16109","SELP","ENSG00000174175"
"1134","SELPLG","Q14242",NA,NA
"1135","SEMA3F","Q13275","SEMA3F-AS1","ENSG00000235016"
"1136","SEMA4C","Q9C0C4",NA,NA
"1137","SEMA4D","Q92854","ARHGEF3","ENSG00000163947"
"1138","SEMA7A","O75326","AL590385.2","ENSG00000273112"
"1139","SEPTIN9","Q9UHD8","SEPTIN9","ENSG00000184640"
"1140","SERPINA11","Q86U17","GCKR","ENSG00000084734"
"1141","SERPINA12","Q8IW75","ZSCAN21","ENSG00000166529"
"1142","SERPINA9","Q86WD7","AL671883.1","ENSG00000229836"
"1143","SERPINB1","P30740","IRF1","ENSG00000125347"
"1144","SERPINB5","P36952","SERPINB5","ENSG00000206075"
"1145","SERPINB6","P35237","SERPINB6","ENSG00000124570"
"1146","SERPINB8","P50452","SERPINB8","ENSG00000166401"
"1147","SERPINB9","P50453",NA,NA
"1148","SERPINE1","P05121","MEF2D","ENSG00000116604"
"1149","SESTD1","Q86VW0","SESTD1","ENSG00000187231"
"1150","SETMAR","Q53H47","PEX14","ENSG00000142655"
"1151","SEZ6L","Q9BYH1","AL590385.2","ENSG00000273112"
"1152","SEZ6L2","Q6UXD5","GCKR","ENSG00000084734"
"1153","SF3B4","Q15427","MTMR11","ENSG00000014914"
"1154","SFRP1","Q8N474","CIART","ENSG00000159208"
"1155","SFTPA1","Q8IWL2","SFTPA2","ENSG00000185303"
"1156","SFTPA2","Q8IWL1","NBEAL1","ENSG00000144426"
"1157","SFTPD","P35247","THBS3","ENSG00000169231"
"1158","SH2B3","Q9UQQ2","SLC22A4","ENSG00000197208"
"1159","SH2D1A","O60880","SH2B3","ENSG00000111252"
"1160","SHMT1","P34896","ARHGEF3","ENSG00000163947"
"1161","SIAE","Q9HAT2","JAK1","ENSG00000162434"
"1162","SIGLEC1","Q9BZZ2","NCF2","ENSG00000116701"
"1163","SIGLEC10","Q96LC7","MGAT5","ENSG00000152127"
"1164","SIGLEC5","O15389","ATXN2","ENSG00000204842"
"1165","SIGLEC6","O43699",NA,NA
"1166","SIGLEC7","Q9Y286","MGAT5","ENSG00000152127"
"1167","SIGLEC9","Q9Y336","MTARC1","ENSG00000286231"
"1168","SIRPA","P78324","NPHS2","ENSG00000116218"
"1169","SIRPB1","O00241","NPHS2","ENSG00000116218"
"1170","SIRT2","Q8IXJ6","ARHGEF3","ENSG00000163947"
"1171","SIT1","Q9Y3P8","SH2B3","ENSG00000111252"
"1172","SKAP1","Q86WV1","HLA-DQB1-AS1","ENSG00000223534"
"1173","SKAP2","O75563","ARHGEF3","ENSG00000163947"
"1174","SLAMF1","Q13291","ST3GAL3","ENSG00000126091"
"1175","SLAMF6","Q96DU3","SLAMF6","ENSG00000162739"
"1176","SLAMF7","Q9NQ25","RUNX3","ENSG00000020633"
"1177","SLAMF8","Q9P0V8","SLAMF8","ENSG00000158714"
"1178","SLC16A1","P53985","AL390729.2","ENSG00000228040"
"1179","SLC27A4","Q6P1M0","ARHGEF3","ENSG00000163947"
"1180","SLC39A14","Q15043","MLXIPL","ENSG00000009950"
"1181","SLC39A5","Q6ZMH5","GALNT2","ENSG00000143641"
"1182","SLIT2","O94813",NA,NA
"1183","SLITRK2","Q9H156","MTARC1","ENSG00000286231"
"1184","SLITRK6","Q9H5Y7","NPHS2","ENSG00000116218"
"1185","SMAD1","Q15797","GCKR","ENSG00000084734"
"1186","SMAD5","Q99717","SFRP2","ENSG00000145423"
"1187","SMOC1","Q9H4F8","RNU6-961P","ENSG00000200763"
"1188","SMOC2","Q9H3U7",NA,NA
"1189","SMPD1","P17405","EDEM3","ENSG00000116406"
"1190","SMPDL3A","Q92484","ARID1A","ENSG00000117713"
"1191","SNAP23","O00161","ARHGEF3","ENSG00000163947"
"1192","SNAP29","O95721","ARHGEF3","ENSG00000163947"
"1193","SNCG","O76070","MMRN2","ENSG00000173269"
"1194","SNX9","Q9Y5X1","ZDHHC14","ENSG00000175048"
"1195","SOD1","P00441","ARHGEF3","ENSG00000163947"
"1196","SOD2","P04179","GLMP","ENSG00000198715"
"1197","SORCS2","Q96PQ0","SORCS2","ENSG00000184985"
"1198","SORD","Q00796","AKNA","ENSG00000106948"
"1199","SORT1","Q99523","SORT1","ENSG00000134243"
"1200","SOST","Q9BQB4","PID1","ENSG00000153823"
"1201","SPARC","P09486","PEAR1","ENSG00000187800"
"1202","SPARCL1","Q14515","SPARCL1","ENSG00000152583"
"1203","SPINK1","P00995","SHROOM3","ENSG00000138771"
"1204","SPINK4","O60575",NA,NA
"1205","SPINK5","Q9NQ38",NA,NA
"1206","SPINK6","Q6UWN8","FBXO38-DT","ENSG00000247199"
"1207","SPINT1","O43278","RHBDL2","ENSG00000158315"
"1208","SPINT2","O43291","SERPINE2","ENSG00000135919"
"1209","SPOCK1","Q08629","RPL21P24","ENSG00000229554"
"1210","SPON1","Q9HCB6","CFB","ENSG00000243649"
"1211","SPON2","Q9BUD6","TMED11P","ENSG00000215367"
"1212","SPP1","P10451","OR10AE1P","ENSG00000271890"
"1213","SPRY2","O43597","TRIM58","ENSG00000162722"
"1214","SRC","P12931","IRF1","ENSG00000125347"
"1215","SRP14","P37108","ARHGEF3","ENSG00000163947"
"1216","SRPK2","P78362","ARHGEF3","ENSG00000163947"
"1217","SSC4D","Q8WTU2","EYA3","ENSG00000158161"
"1218","SSC5D","A1L4H1","UMPS","ENSG00000114491"
"1219","ST3GAL1","Q11201","CELSR2","ENSG00000143126"
"1220","ST6GAL1","P15907",NA,NA
"1221","STAMBP","O95630","ACTG2","ENSG00000163017"
"1222","STAT5B","P51692","ARHGEF3","ENSG00000163947"
"1223","STC1","P52823",NA,NA
"1224","STC2","O76061",NA,NA
"1225","STIP1","P31948","ARHGEF3","ENSG00000163947"
"1226","STK11","Q15831","ARHGEF3","ENSG00000163947"
"1227","STK24","Q9Y6E0","ARHGEF3","ENSG00000163947"
"1228","STK4","Q13043","ARHGEF3","ENSG00000163947"
"1229","STX16","O14662","STX16","ENSG00000124222"
"1230","STX4","Q12846","REEP3","ENSG00000165476"
"1231","STX6","O43752","HLA-DQA1","ENSG00000196735"
"1232","STX8","Q9UNK0","ARHGEF3","ENSG00000163947"
"1233","SUGT1","Q9Y2Z0","ARHGEF3","ENSG00000163947"
"1234","SULT1A1","P50225","SMG1P5","ENSG00000183604"
"1235","SULT2A1","Q06520","KLKB1","ENSG00000164344"
"1236","SUMF2","Q8NBJ7","MTARC1","ENSG00000186205"
"1237","SUSD1","Q6UWL2","PDIA5","ENSG00000065485"
"1238","SUSD2","Q9UGT4","ST6GAL1","ENSG00000073849"
"1239","TACC3","Q9Y6A5","TACC3","ENSG00000013810"
"1240","TACSTD2","P09758","TACSTD2","ENSG00000184292"
"1241","TAFA5","Q7Z5A7","SHROOM3","ENSG00000138771"
"1242","TARBP2","Q15633","ARHGEF3","ENSG00000163947"
"1243","TBC1D17","Q9HA65","TBC1D17","ENSG00000104946"
"1244","TBC1D23","Q9NUY8","TBC1D23","ENSG00000036054"
"1245","TBC1D5","Q92609","ARHGEF3","ENSG00000163947"
"1246","TBCB","Q99426","ARHGEF3","ENSG00000163947"
"1247","TBCC","Q15814","ARHGEF3","ENSG00000163947"
"1248","TBL1X","O60907","ARHGEF3","ENSG00000163947"
"1249","TCL1A","P56279","RERE","ENSG00000142599"
"1250","TCN2","P20062","ABO","ENSG00000175164"
"1251","TDGF1","P13385","TDGF1","ENSG00000241186"
"1252","TDRKH","Q9Y2W6","TDRKH","ENSG00000182134"
"1253","TEK","Q02763","FCGR2B","ENSG00000072694"
"1254","TFF1","P04155","MTX1","ENSG00000173171"
"1255","TFF2","Q03403","MTX1","ENSG00000173171"
"1256","TFF3","Q07654","SHROOM3","ENSG00000138771"
"1257","TFPI","P10646",NA,"ENSG00000213062"
"1258","TFPI2","P48307",NA,NA
"1259","TFRC","P02786","TMCC2","ENSG00000133069"
"1260","TGFA","P01135","TGFA","ENSG00000163235"
"1261","TGFB1","P01137","PDIA5","ENSG00000065485"
"1262","TGFBI","Q15582","AGT","ENSG00000135744"
"1263","TGFBR2","P37173","NPHS2","ENSG00000116218"
"1264","TGFBR3","Q03167","FGGY-DT","ENSG00000224609"
"1265","TGM2","P21980","HLA-DQA1","ENSG00000196735"
"1266","THBD","P07204","RPL21P24","ENSG00000229554"
"1267","THBS2","P35442","C7","ENSG00000112936"
"1268","THBS4","P35443",NA,NA
"1269","THOP1","P52888","THOP1","ENSG00000172009"
"1270","THPO","P40225","NBEAL2","ENSG00000160796"
"1271","THY1","P04216","PKD2L1","ENSG00000107593"
"1272","TIA1","P31483","ARHGEF3","ENSG00000163947"
"1273","TIE1","P35590","TIE1","ENSG00000066056"
"1274","TIGAR","Q9NQ88","CCND2","ENSG00000118971"
"1275","TIMD4","Q96H15","TMED5","ENSG00000117500"
"1276","TIMP1","P01033","TENT5C","ENSG00000183508"
"1277","TIMP3","P35625","MEF2D","ENSG00000116604"
"1278","TIMP4","Q99727",NA,NA
"1279","TINAGL1","Q9GZM7","FAAP20","ENSG00000162585"
"1280","TJAP1","Q5JTD0","ARHGEF3","ENSG00000163947"
"1281","TLR3","O15455","RPL31P11","ENSG00000213075"
"1282","TMPRSS15","P98073",NA,NA
"1283","TMPRSS5","Q9H3S3","PHLDA3","ENSG00000174307"
"1284","TMSB10","P63313","ARHGEF3","ENSG00000163947"
"1285","TNC","P24821",NA,NA
"1286","TNF","P01375","TNF","ENSG00000232810"
"1287","TNFAIP8","O95379","TNFAIP8","ENSG00000145779"
"1288","TNFRSF10A","O00220","LINC02068","ENSG00000223387"
"1289","TNFRSF10B","O14763","LINC02068","ENSG00000223387"
"1290","TNFRSF10C","O14798","CSF3R","ENSG00000119535"
"1291","TNFRSF11A","Q9Y6Q6","RPS6KA1","ENSG00000117676"
"1292","TNFRSF11B","O00300","ARID1A","ENSG00000117713"
"1293","TNFRSF12A","Q9NP84","FOLR3","ENSG00000110203"
"1294","TNFRSF13B","O14836",NA,NA
"1295","TNFRSF13C","Q96RJ3","EBF1","ENSG00000164330"
"1296","TNFRSF14","Q92956","TNFRSF14","ENSG00000157873"
"1297","TNFRSF19","Q9NS68","LMLN","ENSG00000185621"
"1298","TNFRSF1A","P19438","NPHS2","ENSG00000116218"
"1299","TNFRSF1B","P20333","TNFRSF1B","ENSG00000028137"
"1300","TNFRSF21","O75509","CELSR2","ENSG00000143126"
"1301","TNFRSF4","P43489","TNFRSF4","ENSG00000186827"
"1302","TNFRSF6B","O95407",NA,NA
"1303","TNFRSF8","P28908","RN7SL649P","ENSG00000243539"
"1304","TNFRSF9","Q07011","TNFRSF9","ENSG00000049249"
"1305","TNFSF10","P50591","BX248415.1","ENSG00000285986"
"1306","TNFSF11","O14788","CELSR2","ENSG00000143126"
"1307","TNFSF12","O43508","ARNT","ENSG00000143437"
"1308","TNFSF13","O75888","CELSR2","ENSG00000143126"
"1309","TNFSF13B","Q9Y275","STT3B","ENSG00000163527"
"1310","TNFSF14","O43557","SLC22A4","ENSG00000197208"
"1311","TNR","Q92752","TNR","ENSG00000116147"
"1312","TNXB","P22105","TGFBI","ENSG00000120708"
"1313","TP53","P04637","TP53","ENSG00000141510"
"1314","TP53INP1","Q96A56","TRAV4","ENSG00000211778"
"1315","TPMT","P51580","NHLRC1","ENSG00000187566"
"1316","TPP1","O14773","TMEM131L","ENSG00000121210"
"1317","TPPP3","Q9BW30","KCTD19","ENSG00000168676"
"1318","TPSAB1","Q15661",NA,NA
"1319","TRAF2","Q12933","ARHGEF3","ENSG00000163947"
"1320","TREM2","Q9NZC2","RPS23P10","ENSG00000224203"
"1321","TREML2","Q5T2D2","TDRD5","ENSG00000162782"
"1322","TRIAP1","O43715","GLRX2","ENSG00000023572"
"1323","TRIM21","P19474","VARS1","ENSG00000204394"
"1324","TRIM5","Q9C035","TRIM5","ENSG00000132256"
"1325","TSHB","P01222","MICOS10","ENSG00000173436"
"1326","TSPAN1","O60635","TSPAN1","ENSG00000117472"
"1327","TST","Q16762","NCF4","ENSG00000100365"
"1328","TXLNA","P40222","ARHGEF3","ENSG00000163947"
"1329","TXNDC15","Q96J42","RUNX3","ENSG00000020633"
"1330","TXNDC5","Q8NBS9","ARHGEF3","ENSG00000163947"
"1331","TXNRD1","Q16881","ARHGEF3","ENSG00000163947"
"1332","TYMP","P19971","LINC02356","ENSG00000257595"
"1333","TYRO3","Q06418","ST3GAL3","ENSG00000126091"
"1334","UBAC1","Q9BSL1","C3orf62","ENSG00000188315"
"1335","ULBP2","Q9BZM5",NA,NA
"1336","UMOD","P07911",NA,NA
"1337","USO1","O60763","ARHGEF3","ENSG00000163947"
"1338","USP8","P40818","RNPEPL1","ENSG00000142327"
"1339","UXS1","Q8NBZ7","CELSR2","ENSG00000143126"
"1340","VAMP5","O95183","VAMP8","ENSG00000118640"
"1341","VASH1","Q7L8A9","ARHGEF3","ENSG00000163947"
"1342","VASN","Q6EMK4","TDRD5","ENSG00000162782"
"1343","VAT1","Q99536","CPS1","ENSG00000021826"
"1344","VCAM1","P19320",NA,NA
"1345","VCAN","P13611","HSPA7","ENSG00000225217"
"1346","VEGFA","P15692","MEF2D","ENSG00000116604"
"1347","VEGFC","P49767","TBC1D5","ENSG00000131374"
"1348","VEGFD","O43915","KNG1","ENSG00000113889"
"1349","VMO1","Q7Z5L0",NA,NA
"1350","VNN2","O95498",NA,"ENSG00000228541"
"1351","VPS37A","Q8NEZ2","ARHGEF3","ENSG00000163947"
"1352","VPS53","Q5VIR6","ARHGEF3","ENSG00000163947"
"1353","VSIG4","Q9Y279","CFH","ENSG00000000971"
"1354","VSIR","Q9H7M9","PDIA5","ENSG00000065485"
"1355","VSTM1","Q6UX27",NA,NA
"1356","VSTM2L","Q96N03","CELSR2","ENSG00000143126"
"1357","VTA1","Q9NP79","ARHGEF3","ENSG00000163947"
"1358","VTCN1","Q7Z7D3","VTCN1","ENSG00000134258"
"1359","VWA1","Q6PCB0","ATAD3B","ENSG00000160072"
"1360","VWC2","Q2TAL6","NPHS2","ENSG00000116218"
"1361","VWF","P04275","STXBP5","ENSG00000164506"
"1362","WARS","P23381","CD163L1","ENSG00000177675"
"1363","WAS","P42768","KNG1","ENSG00000113889"
"1364","WASF1","Q92558","ARHGEF3","ENSG00000163947"
"1365","WASF3","Q9UPY6","WASF3-AS1","ENSG00000237001"
"1366","WFDC12","Q8WWY7","FLG","ENSG00000143631"
"1367","WFDC2","Q14508","PDILT","ENSG00000169340"
"1368","WFIKKN1","Q96NZ8","CLIC4","ENSG00000169504"
"1369","WFIKKN2","Q8TEU8","SDC3","ENSG00000162512"
"1370","WIF1","Q9Y5W5","FMN2","ENSG00000155816"
"1371","WNT9A","O14904",NA,NA
"1372","WWP2","O00308","ARHGEF3","ENSG00000163947"
"1373","XCL1","P47992",NA,NA
"1374","XG","P55808","TSPAN8","ENSG00000127324"
"1375","XPNPEP2","O43895","ARID1A","ENSG00000117713"
"1376","XRCC4","Q13426","XRCC4","ENSG00000152422"
"1377","YES1","P07947","ARHGEF3","ENSG00000163947"
"1378","YTHDF3","Q7Z739","ARHGEF3","ENSG00000163947"
"1379","ZBTB16","Q05516","ARHGEF3","ENSG00000163947"
"1380","ZBTB17","Q13105","HABP2","ENSG00000148702"
