"","exposure","id","outcome","nsnp","b","se","pval","what"
"151","CAD","ebi-a-GCST003116","CEACAM21",41,-0.00191258270191127,0.0106118820972091,0.856971771356717,"Outliers removed"
"152","CAD","ebi-a-GCST003116","CES1",42,-0.0161025895590265,0.0238049148423872,0.498761515884112,"All"
"153","CAD","ebi-a-GCST003116","CES1",41,-0.00212961450414411,0.0191394987867111,0.911403798900053,"Outliers removed"
"154","CAD","ebi-a-GCST003116","CES2",42,-0.0203676701903719,0.0152171673573962,0.180744382472583,"All"
"155","CAD","ebi-a-GCST003116","CES2",42,-0.0203676701903719,0.0152171673573962,0.180744382472583,"Outliers removed"
"156","CAD","ebi-a-GCST003116","CFC1",42,0.00952869540758625,0.019479588552844,0.624726250094567,"All"
"157","CAD","ebi-a-GCST003116","CFC1",42,0.00952869540758625,0.019479588552844,0.624726250094567,"Outliers removed"
"158","CAD","ebi-a-GCST003116","CHI3L1",42,-0.00143805353690136,0.0158065698501086,0.927509899828358,"All"
"159","CAD","ebi-a-GCST003116","CHI3L1",42,-0.00143805353690136,0.0158065698501086,0.927509899828358,"Outliers removed"
"160","CAD","ebi-a-GCST003116","CLEC14A",42,-0.0464225686857957,0.0247492658438877,0.0606944278264515,"All"
"161","CAD","ebi-a-GCST003116","CLEC14A",41,-0.03594808330668,0.020628862314795,0.0814015794791525,"Outliers removed"
"162","CAD","ebi-a-GCST003116","CLEC4A",42,-0.0218097284807416,0.0295192267549317,0.460009447080077,"All"
"163","CAD","ebi-a-GCST003116","CLEC4A",38,-0.00621094933853036,0.0202325945730112,0.758860572120258,"Outliers removed"
"164","CAD","ebi-a-GCST003116","CLEC4G",42,0.0179664497353551,0.0199233668604217,0.367174920307262,"All"
"165","CAD","ebi-a-GCST003116","CLEC4G",41,0.0251380347017556,0.0187014654521846,0.178891935648056,"Outliers removed"
"166","CAD","ebi-a-GCST003116","CLEC5A",42,-0.0308064595995908,0.0228554116502638,0.177695470871155,"All"
"167","CAD","ebi-a-GCST003116","CLEC5A",39,-0.0195199203737693,0.0188117076759345,0.299434221578802,"Outliers removed"
"168","CAD","ebi-a-GCST003116","CLSTN2",42,-0.0621065405234677,0.0209795599264491,0.0030730397119296,"All"
"169","CAD","ebi-a-GCST003116","CLSTN2",40,-0.048952965180067,0.0184665081186781,0.00802763342678927,"Outliers removed"
"170","CAD","ebi-a-GCST003116","CLUL1",42,-0.0472087264894107,0.0187740174466385,0.0119175022848225,"All"
